id	English	Japanese	QA - Pass /Fail	Comments	Russian	QA - Pass /Fail	Comments	ChineseSimplified	QA - Pass /Fail	Comments	ChineseTraditional	QA - Pass /Fail	Comments	Korean	QA - Pass /Fail	Comments
gdpr.dlg2.text.3	Figure out which level(s) people can’t pass which can cause them to quit the application and then optimize those bad experiences out of the game	ゲーム内に次に何を実装すべきかをより的確に判断でき、ユーザーの皆様により良い体験をお届けできるようになります			Лучше понять, какие игровые функции создавать дальше, чтобы всем стало лучше играть			让我们更好地理清游戏下一步要做什么，从而让大家有更好的体验。			讓我們更清楚接下來能為遊戲打造什麼樣的內容，讓大家都能獲得更好的體驗			모든 사람이 더 나은 경험을 할 수 있도록 다음 게임을 위해 무엇을 만들지 저희가 더 잘 생각할 수 있도록 허용해 주세요		
gdpr.dlg2.text.4	Allow us to fix bugs and problems that occur on people’s devices with ease	特定のユーザーが弊社のゲームをプレイ中に問題が発生した場合、その問題を検知して素早く修正することができるようになります			Узнать, когда пользователи в нашей игре сталкиваются с проблемами, и быстро решить эти проблемы!			弄清楚特定用户在我们游戏中遇到问题的情况，让我们能快速修复他们的问题！			當特定用戶在遊戲中遇到問題時，能即時了解並迅速解決問題！			저희가 특정 사용자의 게임 내 문제 발생 시기를 파악하여 해당 문제를 신속하게 해결하도록 허용해 주세요!		
gdpr.dlg2.text.5	Deliver more relevant advertisements	より関心に合う広告を配信できるようになります			Предоставлять более релевантную рекламу.			投放相关性更好的广告。			投放更多相關廣告。			더 많은 관련 광고를 전달하세요.		
gdpr.analytics.support	Analytics & Support	分析データ&サポート			Аналитика и поддержка			分析和支持			分析與支援			분석 및 지원		
gdpr.advertising	Advertising	広告			Реклама			广告			廣告			광고		
gdpr.accept	Accept	同意する			Принять			接受			接受			수용		
gdpr.awesome	Awesome! I support that!	いいですね！サポートします！			Отлично! Я это поддерживаю!			好极了！我支持！			太好了！我很支持！			훌륭해요! 지지합니다!		
gdpr.back	Back	前			Назад			返回			返回			뒤로		
gdpr.dlg3.text.1	Here are the controls to adjust which data we can utilize:	弊社がどのデータを使用できるか設定してください。			Настрой, какие данные мы можем использовать:			调整我们可以利用的数据：			調整我們可利用的數據：			사용할 수 있는 데이터 조정:		
gdpr.dlg3.text.policies	Here are the links to our partners' privacy policies:	当社パートナー企業の個人情報保護方針へのリンクはこちらです：			Вот ссылки на политику конфиденциальности наших партнеров:			以下是我们合作伙伴的隐私政策链接：			以下是我們的隱私政策鏈接：			제휴사의 개인정보 보호정책 링크입니다.		
gdpr.fix.settings	Let me fix my settings	設定を修正したいです			Дайте мне исправить настройки			让我修复我的设置			讓我修正我的設定			내 설정 수정		
gdpr.i.understand	I understand.	わかりました。			Я понимаю.			我了解。			我懂了。			이해합니다.		
gdpr.dlg4.text.1	If you don’t give us consent to use your data, you will be making our ability to support the application harder. We may not be able to discover what’s causing issues within the game, and will even need to show more ads since our ad partners are paying us less.	データの使用同意をいただけない場合には、弊社が <title_name> のサポートを提供するのが難しくなるため、ユーザー体験の低下につながる可能性があります。			Если ты не дашь согласие на использование своих данных, то нам станет сложнее поддерживать <title_name>, что может негативно повлиять на пользовательский опыт.			如果您不同意我们使用您的数据，您会使我们支持 <title_name> 的难度加大，从而可能导致对用户体验产生不利影响。			若您不同意我們使用您的數據，這會增加我們支援 <title_name> 的難度，最後可能會給用戶帶來負面的影響。			데이터 사용에 동의하지 않으시면, <title_name> 를 지원하는 저희 능력이 힘들어지고, 이는 사용자 경험에 부정적인 영향을 미칠 수 있습니다.		
